,pitch radius,root radius,outer radius,base radius,base fillet radius,addendum radius,dedendum radius,whole depth,working depth,arc tooth thickness
Gear A,0.9,0.825,1.025,0.8920825306771263,0.015,0.125,0.07500000000000001,0.225,0.2,15.70128694759789
Gear B,2.360000000000001,2.235000000000001,2.4350000000000014,2.339238635997799,0.015,0.075,0.125,0.225,0.2,15.714639588300042
Gear C,0.9,0.825,1.025,0.8920825306771263,0.015,0.125,0.07500000000000001,0.225,0.2,15.70128694759789
Gear D,2.8600000000000017,2.7350000000000017,2.935000000000002,2.834840041929536,0.015,0.075,0.125,0.225,0.2,15.714639588300042
